Book Name,Author,Year,Book ID
leopard diaries – the rosette in india,sanjay gubbi,2021,8d91500c-9923-43bd-a292-5560eec4aa96
balakot air strike: how india avenged pulwama,manan bhatt,2021,e4ace54e-4d6f-452a-9a1b-3a4984a10aea
the year that wasn’t – the diary of a 14-year-old,brisha jain,2021,a6453dcf-408b-4363-869f-c5fad69a496c
the earthspinner,anuradha roy,2021,8e123d8d-08f4-419a-ab04-4a3c0c9de7e6
how the earth got its beauty,sudha murty,2021,335ae70f-06cf-43ba-bea5-b8e65706a3b4
operation khukri,rajpal punia & ms damini punia,2021,90849a99-c8cd-4c9b-a23f-54894541604c
accelerating india: 7 years of modi government,k j alphons,2021,b53517c2-9090-4086-8919-c92d4e0a6ba9
back to the roots,tamannaah bhatia,2021,0bf2e336-fa06-44c7-96ac-4fadc67bb80d
gita govinda: jaydeva’s divine odyssey,dr. utpal k. banerjee,2021,ad8ecb06-eeb4-423d-afdb-c28181a6d863
human rights and terrorism in india,subramanian swamy,2021,ffd16970-93ca-4776-b1d2-1a5dd92eebd8
translating myself and others,jhumpa lahiri,2021,e69287f2-ef41-4d06-938e-05a66447fc44
shining sikh youth of india,dr. prabhleen singh,2021,054159cd-dee9-4af6-923b-4386588df5cd
400 days,chetan bhagat,2021,39f7a033-4c2f-4aa0-8cdf-72dc929022ed
jungle nama,amitav ghosh,2021,8c3dd247-3306-4a82-8fdc-6bda7eccd45d
the fractured himalaya: how the past shadows the present in india-china relations,nirupama rao,2021,89c12837-e974-4cd8-b241-de274500063e
the battle of rezang la,kulpreet yadav,2021,e55811e2-95f3-4e50-bb0c-60c8570e64cb
karmayoddha granth,amit shah,2020,bca05c42-a685-4a00-a08d-baadf116d731
relentless,yashwant sinha,2020,793ef0b8-e231-4b83-ae47-bef627acf64b
a child of destiny,k. ramakrishna rao,2020,5f099a42-84c1-435f-a382-297c595c12bf
the thin mind map,dharmendra rai,2020,fd6a54e2-e793-424a-83a4-8830a9ceede7
"a commentary and digest on the air, act 1981",apoorva kumar singh,2020,8c3b360f-64da-4fab-a2b6-51ca6cf41843
death – an inside story,jaggi vasudev,2020,ece3ca1b-3e49-48d5-96c1-7ddb46d6ed74
an extraordinary life: a biography of manohar parrikar,sadguru patil & mayabhushan nagvenkar,2020,3fd27b05-4f70-4633-bb94-6dd81acf9027
invincible – a tribute to manohar parrikar,tarun vijay,2020,85e9e2bb-8220-47f8-b79d-efb980fe47bb
my encounters in parliament,bhalchandra mungekar,2020,e97d3c79-414b-40cc-b0ea-edc9d2db2e91
messiah modi: a tale of great expectations,tavleen singh,2020,d77c7b8a-2b42-4f3a-97dc-9746608925bf
legacy of learning,savita chhabra,2020,b0525d86-79a5-40b1-95a0-4e5a61a541a9
missing in action: the prisoners who never came back,chander suta dogra,2020,741aeee0-545f-4815-b05b-d12724d9cdf4
the art of her deal: the untold story of melania trump,mary jordan,2020,611d74d5-aaa5-426b-8ee5-acd4e6274d1b
shuttling to the top: the story of p v sindhu,krishnaswamy v,2020,1af48201-f134-44a1-806b-fcf8c0f169d2
vijayant at kargil: the life of a kargil war hero,neha dwivedi,2020,b9e41363-7464-4b55-b6d9-9c13b3306267
wuhan diary: dispatches from a quarantined city,fang fang,2020,f1f23720-ffc3-4e12-97f0-57c6d43ad9dd
"hop-on: my adventures on boats, trains, and planes",ruskin bond,2020,46163ca4-4067-4e35-b0c9-e725bbc26df5
the ickabog,j.k rowling,2020,dbed7d07-b761-4846-b818-1f92a974a2b6
legend of suheldev: the king who saved india,amish tripathi,2020,0aa4112e-d15a-4c3a-b0ba-7c77feb99121
future of higher education: nine mega trends,v pattabhi ram,2020,d64056eb-2cba-4345-b6c1-8c66f6e99bb6
overdraft: saving the indian saver,urjit patel,2020,132b07b7-6b18-4e78-aae8-acaac7b2f336
getting competitive: a practitioner’s guide for india,rc bhargava,2020,4d2fd3d2-fd1f-4fca-9ab8-76cd605d30e3
a song of india,ruskin bond,2020,81dd5f60-2dae-4774-8413-e9795c2f2eee
if it bleeds,stephen king,2020,472d49c5-16d0-47ea-9047-f6610923bc8a
the endgame,hussain zaidi,2020,601f4353-67f6-4c6f-a98a-64cce8390e5c
suraj kade marda nahi (sun never dies),baldev singh sadaknama,2020,3efb8ef3-1638-4d4d-ab6a-3b510cd11ab3
quest for restoring financial stability in india,viral v.acharya,2020,0a70cabc-81af-426e-bfac-924fcb5f227f
amazing ayodhya,neena rai,2020,9613089c-89ac-420d-b3aa-d78c599e6972
"connecting, communicating, changing",raksha mantri rajnath singh,2020,937aff01-0a0e-4e05-90b4-0eba54bdd97b
our only home: a climate appeal to the world,dalai lama and franz alt,2020,4e9fbe92-175c-4be9-b9b4-70d5bf38582e
"full spectrum: india’s wars, 1972-2020",arjun subramaniam,2020,5f0c2442-9727-4d8b-9044-d0658e2858d0
one arranged murder,chetan bhagat,2020,613008f5-d9c6-4964-87de-aa78c5641d5d
cricket drona,jatin paranjpe,2020,08e551a2-6c1d-4509-b611-db7198c49f0a
let us dream,pope francis,2020,319a74b9-5870-4252-8ca7-c211f1e1982f
the little book of encouragement,dalai lama,2020,675e49b1-5269-46d8-b76e-74b0f0d65e69
